domain,model,fold,seed,stage,pr_auc,roc_auc,accuracy,risk_precision,risk_recall,risk_f1,selected_threshold,train_pr_auc,generalization_gap,feature_count,outer_test_used
oulad,DT,1,42,35pct,0.7484747274747099,0.7781068001015508,0.6716235129461162,0.5705464649583205,0.7917737789203085,0.6631975596626593,0.36,0.8335712267069717,0.08509649923226181,96,False
oulad,DT,1,42,50pct,0.7947567146753143,0.8256375674041048,0.777535044602221,0.7521270561542824,0.6281383230696352,0.6845637583892618,0.59,0.871285280031071,0.0765285653557567,96,False
oulad,DT,1,42,75pct,0.8425625753527081,0.8706959982455366,0.8567551851133941,0.909952606635071,0.6482836240855374,0.7571475517581334,0.75,0.9143879866470647,0.0718254112943566,96,False
oulad,DT,1,42,FINAL-100,0.9648052554335106,0.9565826424529442,0.9206502273040363,0.9838756962767516,0.8656177456796492,0.9209659714599341,0.64,0.9726835002397158,0.007878244806205248,96,False
oulad,DT,1,1201,20pct,0.6995749771148027,0.7314824367020353,0.6400468776159384,0.5645302897278315,0.744500192975685,0.6421438082556591,0.34,0.7935192287888768,0.09394425167407416,96,False
oulad,DT,1,1201,35pct,0.7484814888400952,0.7781041397144113,0.6716235129461162,0.5705464649583205,0.7917737789203085,0.6631975596626593,0.36,0.833573007997036,0.0850915191569408,96,False
oulad,DT,1,1201,50pct,0.7949103881286674,0.8257277710374061,0.7777170944838886,0.7525539160045402,0.6281383230696352,0.6847405112316034,0.59,0.871285280031071,0.07637489190240354,96,False
oulad,DT,1,1201,75pct,0.8413593605810888,0.8701846679447983,0.8567551851133941,0.909952606635071,0.6482836240855374,0.7571475517581334,0.75,0.9144218264150721,0.07306246583398324,96,False
oulad,DT,1,1201,FINAL-100,0.9648053961634881,0.9565821085914032,0.9206502273040363,0.9838756962767516,0.8656177456796492,0.9209659714599341,0.64,0.9726835002397158,0.007878104076227688,96,False
oulad,DT,1,2026,20pct,0.699172127854641,0.730686740094048,0.6398794575590155,0.5643651258045641,0.744500192975685,0.6420369445831253,0.34,0.7935152373709621,0.09434310951632108,96,False
oulad,DT,1,2026,35pct,0.748525025622742,0.7781677989781073,0.6716235129461162,0.5705464649583205,0.7917737789203085,0.6631975596626593,0.36,0.8335636406635661,0.0850386150408241,96,False
oulad,DT,1,2026,50pct,0.7947567146753143,0.8256375674041048,0.777535044602221,0.7521270561542824,0.6281383230696352,0.6845637583892618,0.59,0.871285280031071,0.0765285653557567,96,False
oulad,DT,1,2026,75pct,0.8414006435712713,0.8702888309022541,0.8567551851133941,0.909952606635071,0.6482836240855374,0.7571475517581334,0.75,0.9143990226220964,0.07299837905082507,96,False
oulad,DT,1,2026,FINAL-100,0.9648006280331016,0.9565798206133702,0.9206502273040363,0.9838756962767516,0.8656177456796492,0.9209659714599341,0.64,0.9726835002397158,0.007882872206614211,96,False
oulad,DT,2,42,20pct,0.6954862747781305,0.7413708925622713,0.6345666497719209,0.5398891966759003,0.7951856385148919,0.6431281966672167,0.37,0.7957704862237589,0.10028421144562838,96,False
oulad,DT,2,42,35pct,0.7486083243959858,0.7898990571356973,0.6725959845015851,0.5551691432184634,0.7952898550724637,0.6538819586669149,0.36,0.8358212046431605,0.08721288024717466,96,False
oulad,DT,2,42,50pct,0.79490931585645,0.8333413303295835,0.7479779411764705,0.6255765199161426,0.7573604060913706,0.6851894374282435,0.45,0.8727139459730843,0.0778046301166343,96,False
oulad,DT,2,42,75pct,0.842225480048415,0.8804859681624813,0.8471844660194174,0.7897469175859831,0.7244047619047619,0.7556659422539584,0.59,0.9135543881286082,0.07132890808019321,96,False
