domain,model,fold,seed,stage,ap,roc_auc,risk_f1,risk_recall,recall_at_20,n,prevalence,n_models,one_weight_all_stages
uci,LR,2,1201,S2,0.9251325660309666,0.9731663685152058,0.8380952380952381,0.8461538461538461,0.7692307692307693,224,0.23214285714285715,1,True
uci,DT,2,1201,S0,0.4625380907089952,0.7483228980322004,0.5636363636363636,0.5961538461538461,0.46153846153846156,224,0.23214285714285715,1,True
uci,DT,2,1201,S1,0.7359019038218003,0.918884168157424,0.6825396825396826,0.8269230769230769,0.6730769230769231,224,0.23214285714285715,1,True
uci,DT,2,1201,S2,0.7359019038218003,0.918884168157424,0.6825396825396826,0.8269230769230769,0.6730769230769231,224,0.23214285714285715,1,True
uci,RF,2,1201,S0,0.5473607642308922,0.8089221824686942,0.5818181818181818,0.6153846153846154,0.5384615384615384,224,0.23214285714285715,1,True
uci,RF,2,1201,S1,0.7293796129048176,0.9348166368515205,0.7368421052631579,0.9423076923076923,0.6730769230769231,224,0.23214285714285715,1,True
uci,RF,2,1201,S2,0.8273398194573447,0.9536001788908766,0.7967479674796748,0.9423076923076923,0.7115384615384616,224,0.23214285714285715,1,True
uci,SVM,2,1201,S0,0.3955949272447905,0.6882826475849733,0.4507042253521127,0.6153846153846154,0.40384615384615385,224,0.23214285714285715,1,True
uci,SVM,2,1201,S1,0.8102093132826311,0.9233005366726297,0.6615384615384615,0.8269230769230769,0.6538461538461539,224,0.23214285714285715,1,True
uci,SVM,2,1201,S2,0.8759265776761296,0.9530411449016101,0.7153284671532847,0.9423076923076923,0.7115384615384616,224,0.23214285714285715,1,True
uci,XGB,2,1201,S0,0.4262467886555929,0.7461985688729875,0.48695652173913045,0.5384615384615384,0.4230769230769231,224,0.23214285714285715,1,True
uci,XGB,2,1201,S1,0.7121836667886452,0.9139087656529516,0.7213114754098361,0.8461538461538461,0.5961538461538461,224,0.23214285714285715,1,True
uci,XGB,2,1201,S2,0.8279825525831948,0.9464445438282648,0.7786259541984732,0.9807692307692307,0.6153846153846154,224,0.23214285714285715,1,True
uci,CatBoost,2,1201,S0,0.475304657379764,0.7571556350626117,0.5365853658536586,0.6346153846153846,0.46153846153846156,224,0.23214285714285715,1,True
uci,CatBoost,2,1201,S1,0.7201270746467551,0.9286672629695886,0.7518796992481203,0.9615384615384616,0.6346153846153846,224,0.23214285714285715,1,True
uci,CatBoost,2,1201,S2,0.7583310679743352,0.9428667262969588,0.7874015748031497,0.9615384615384616,0.6730769230769231,224,0.23214285714285715,1,True
uci,MLP,2,1201,S0,0.39525128673484256,0.6712880143112702,0.4580152671755725,0.5769230769230769,0.34615384615384615,224,0.23214285714285715,1,True
uci,MLP,2,1201,S1,0.6416309437268253,0.8698568872987478,0.6451612903225806,0.7692307692307693,0.5769230769230769,224,0.23214285714285715,1,True
uci,MLP,2,1201,S2,0.8757382381217245,0.9585196779964222,0.7446808510638298,0.6730769230769231,0.7115384615384616,224,0.23214285714285715,1,True
uci,LR,2,2026,S0,0.41673031842166147,0.6866055456171736,0.4576271186440678,0.5192307692307693,0.38461538461538464,224,0.23214285714285715,1,True
uci,LR,2,2026,S1,0.8144559348103795,0.9265429338103757,0.7,0.8076923076923077,0.6538461538461539,224,0.23214285714285715,1,True
uci,LR,2,2026,S2,0.9251325660309666,0.9731663685152058,0.8380952380952381,0.8461538461538461,0.7692307692307693,224,0.23214285714285715,1,True
uci,DT,2,2026,S0,0.4625380907089952,0.7483228980322004,0.5636363636363636,0.5961538461538461,0.46153846153846156,224,0.23214285714285715,1,True
uci,DT,2,2026,S1,0.7359019038218003,0.918884168157424,0.6825396825396826,0.8269230769230769,0.6730769230769231,224,0.23214285714285715,1,True
uci,DT,2,2026,S2,0.7359019038218003,0.918884168157424,0.6825396825396826,0.8269230769230769,0.6730769230769231,224,0.23214285714285715,1,True
uci,RF,2,2026,S0,0.5667697130239923,0.8130590339892666,0.5714285714285714,0.5769230769230769,0.5384615384615384,224,0.23214285714285715,1,True
uci,RF,2,2026,S1,0.7181375978101877,0.9339221824686941,0.7931034482758621,0.8846153846153846,0.6923076923076923,224,0.23214285714285715,1,True
uci,RF,2,2026,S2,0.8145857054659499,0.9524821109123435,0.7692307692307693,0.9615384615384616,0.7115384615384616,224,0.23214285714285715,1,True
uci,SVM,2,2026,S0,0.3955949272447905,0.6882826475849733,0.4507042253521127,0.6153846153846154,0.40384615384615385,224,0.23214285714285715,1,True
uci,SVM,2,2026,S1,0.8102093132826311,0.9233005366726297,0.6615384615384615,0.8269230769230769,0.6538461538461539,224,0.23214285714285715,1,True
uci,SVM,2,2026,S2,0.8759265776761296,0.9530411449016101,0.7153284671532847,0.9423076923076923,0.7115384615384616,224,0.23214285714285715,1,True
uci,XGB,2,2026,S0,0.4226624846646638,0.7422853309481215,0.5,0.5769230769230769,0.38461538461538464,224,0.23214285714285715,1,True
uci,XGB,2,2026,S1,0.7104565355148712,0.9150268336314847,0.7107438016528925,0.8269230769230769,0.6153846153846154,224,0.23214285714285715,1,True
uci,XGB,2,2026,S2,0.8258779981118121,0.9446556350626117,0.78125,0.9615384615384616,0.6346153846153846,224,0.23214285714285715,1,True
uci,CatBoost,2,2026,S0,0.4730027447443806,0.7465339892665473,0.5212121212121212,0.8269230769230769,0.4423076923076923,224,0.23214285714285715,1,True
uci,CatBoost,2,2026,S1,0.7505168688405455,0.9290026833631485,0.7384615384615385,0.9230769230769231,0.6538461538461539,224,0.23214285714285715,1,True
uci,CatBoost,2,2026,S2,0.8064783976097932,0.9465563506261181,0.7538461538461538,0.9423076923076923,0.6923076923076923,224,0.23214285714285715,1,True
