candidate_id,seed,outer_fold,actual,predicted,count
N2,123,0,0,1,3
N2,123,0,0,2,0
N2,123,0,1,0,4
N2,123,0,1,1,27
N2,123,0,1,2,0
N2,123,0,2,0,0
N2,123,0,2,1,0
N2,123,0,2,2,12
N2,123,1,0,0,18
N2,123,1,0,1,3
N2,123,1,0,2,0
N2,123,1,1,0,3
N2,123,1,1,1,20
N2,123,1,1,2,7
N2,123,1,2,0,0
N2,123,1,2,1,0
N2,123,1,2,2,12
N2,123,2,0,0,18
N2,123,2,0,1,3
N2,123,2,0,2,0
N2,123,2,1,0,3
N2,123,2,1,1,26
N2,123,2,1,2,2
N2,123,2,2,0,0
N2,123,2,2,1,1
N2,123,2,2,2,10
N2,123,3,0,0,21
N2,123,3,0,1,0
N2,123,3,0,2,0
N2,123,3,1,0,4
N2,123,3,1,1,27
N2,123,3,1,2,0
N2,123,3,2,0,0
N2,123,3,2,1,7
N2,123,3,2,2,4
N2,123,4,0,0,18
N2,123,4,0,1,2
N2,123,4,0,2,0
N2,123,4,1,0,4
N2,123,4,1,1,22
N2,123,4,1,2,5
N2,123,4,2,0,0
N2,123,4,2,1,0
N2,123,4,2,2,12
N2,155,0,0,0,16
N2,155,0,0,1,5
N2,155,0,0,2,0
N2,155,0,1,0,5
N2,155,0,1,1,26
N2,155,0,1,2,0
N2,155,0,2,0,0
N2,155,0,2,1,1
N2,155,0,2,2,11
N2,155,1,0,0,15
N2,155,1,0,1,6
N2,155,1,0,2,0
N2,155,1,1,0,1
N2,155,1,1,1,26
N2,155,1,1,2,3
N2,155,1,2,0,0
N2,155,1,2,1,2
N2,155,1,2,2,10
N2,155,2,0,0,18
N2,155,2,0,1,3
N2,155,2,0,2,0
N2,155,2,1,0,3
N2,155,2,1,1,24
N2,155,2,1,2,4
N2,155,2,2,0,0
N2,155,2,2,1,1
N2,155,2,2,2,10
N2,155,3,0,0,20
N2,155,3,0,1,1
N2,155,3,0,2,0
N2,155,3,1,0,3
N2,155,3,1,1,28
N2,155,3,1,2,0
N2,155,3,2,0,0
N2,155,3,2,1,7
N2,155,3,2,2,4
N2,155,4,0,0,18
N2,155,4,0,1,2
N2,155,4,0,2,0
N2,155,4,1,0,4
N2,155,4,1,1,27
N2,155,4,1,2,0
N2,155,4,2,0,0
N2,155,4,2,1,2
N2,155,4,2,2,10
N3,42,0,0,0,18
N3,42,0,0,1,3
N3,42,0,0,2,0
N3,42,0,1,0,5
N3,42,0,1,1,26
N3,42,0,1,2,0
N3,42,0,2,0,0
N3,42,0,2,1,0
N3,42,0,2,2,12
N3,42,1,0,0,21
N3,42,1,0,1,0
N3,42,1,0,2,0
N3,42,1,1,0,30
N3,42,1,1,1,0
N3,42,1,1,2,0
N3,42,1,2,0,12
N3,42,1,2,1,0
N3,42,1,2,2,0
N3,42,2,0,0,19
N3,42,2,0,1,2
N3,42,2,0,2,0
N3,42,2,1,0,5
N3,42,2,1,1,24
N3,42,2,1,2,2
N3,42,2,2,0,0
N3,42,2,2,1,0
N3,42,2,2,2,11
N3,42,3,0,0,21
N3,42,3,0,1,0
N3,42,3,0,2,0
N3,42,3,1,0,4
N3,42,3,1,1,27
N3,42,3,1,2,0
N3,42,3,2,0,0
N3,42,3,2,1,2
N3,42,3,2,2,9
N3,42,4,0,0,12
N3,42,4,0,1,8
N3,42,4,0,2,0
N3,42,4,1,0,1
N3,42,4,1,1,25
N3,42,4,1,2,5
N3,42,4,2,0,0
N3,42,4,2,1,0
N3,42,4,2,2,12
N3,123,0,0,0,20
N3,123,0,0,1,1
N3,123,0,0,2,0
N3,123,0,1,0,7
N3,123,0,1,1,24
